Design Variation:  L_jun='24nH'
Setup:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  4.5GHz

Capacitance Matrix
,Ground,Q0_Pad1,Q0_Pad2,XY_Line,
Ground,1.248808565426349E+03,-1.025419563520006E+02,-1.018885837984934E+02,-6.253814042980382E+02
Q0_Pad1,-1.025419563520006E+02,1.610157423577176E+02,-5.813856611620250E+01,-1.749324596700153E-01
Q0_Pad2,-1.018885837984934E+02,-5.813856611620250E+01,1.612176554680301E+02,-7.458689982599169E-01
XY_Line,-6.253814042980382E+02,-1.749324596700153E-01,-7.458689982599169E-01,6.265736364991091E+02

Capacitance Matrix Coupling Coefficient
,Ground,Q0_Pad1,Q0_Pad2,XY_Line,
Ground,1.000000000000000E+00,2.286754251221380E-01,2.270760289832314E-01,7.069862543935143E-01
Q0_Pad1,2.286754251221380E-01,1.000000000000000E+00,3.608476211471713E-01,5.507445072337012E-04
Q0_Pad2,2.270760289832314E-01,3.608476211471713E-01,1.000000000000000E+00,2.346768211960164E-03
XY_Line,7.069862543935143E-01,5.507445072337012E-04,2.346768211960164E-03,1.000000000000000E+00

Spice Capacitance Matrix
,Ground,Q0_Pad1,Q0_Pad2,XY_Line,
Ground,4.189966209778167E+02,1.025419563520006E+02,1.018885837984934E+02,6.253814042980382E+02
Q0_Pad1,1.025419563520006E+02,1.602874298444778E-01,5.813856611620250E+01,1.749324596700153E-01
Q0_Pad2,1.018885837984934E+02,5.813856611620250E+01,4.446365550742806E-01,7.458689982599169E-01
XY_Line,6.253814042980382E+02,1.749324596700153E-01,7.458689982599169E-01,2.714307431410166E-01

Conductance Matrix
,Ground,Q0_Pad1,Q0_Pad2,XY_Line,
Ground,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q0_Pad1,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q0_Pad2,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
XY_Line,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00

Conductance Matrix Coupling Coefficient
,Ground,Q0_Pad1,Q0_Pad2,XY_Line,
Ground,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q0_Pad1,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q0_Pad2,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
XY_Line,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00

Spice Conductance Matrix
,Ground,Q0_Pad1,Q0_Pad2,XY_Line,
Ground,0.000000000000000E+00,-0.000000000000000E+00,-0.000000000000000E+00,-0.000000000000000E+00
Q0_Pad1,-0.000000000000000E+00,0.000000000000000E+00,-0.000000000000000E+00,-0.000000000000000E+00
Q0_Pad2,-0.000000000000000E+00,-0.000000000000000E+00,0.000000000000000E+00,-0.000000000000000E+00
XY_Line,-0.000000000000000E+00,-0.000000000000000E+00,-0.000000000000000E+00,0.000000000000000E+00
