"Freq [GHz]","re(Yt(Diff1,Diff1)) []","im(Yt(Diff1,Diff1)) []","re(Yt(Comm1,Diff1)) []","im(Yt(Comm1,Diff1)) []","re(Yt(Diff1,Comm1)) []","im(Yt(Diff1,Comm1)) []","re(Yt(Comm1,Comm1)) []","im(Yt(Comm1,Comm1)) []"
4,1.27387035575837E-09,-0.000420166700992502,-1.78003139196084E-09,-5.85691342536253E-07,-1.78003139192896E-09,-5.85691342536361E-07,9.28084686602215E-09,0.00534474788524935
4.0025,1.27165266226859E-09,-0.000416452204110182,-1.7810080536924E-09,-5.893401159055E-07,-1.7810080533585E-09,-5.89340115905605E-07,9.28666947910828E-09,0.00534815860420464
4.005,1.26944353149097E-09,-0.000412739925554867,-1.78197376056657E-09,-5.92996182983089E-07,-1.78197376037656E-09,-5.92996182983136E-07,9.29249897418938E-09,0.00535156945739664
4.0075,1.26724251622249E-09,-0.000409029860639721,-1.78292917535021E-09,-5.96659553793883E-07,-1.78292917532665E-09,-5.96659553793949E-07,9.29833472593233E-09,0.00535498044491121
4.01,1.26504918406597E-09,-0.000405322004689093,-1.78387493051761E-09,-6.00330238342089E-07,-1.78387493078595E-09,-6.00330238341996E-07,9.30417614883328E-09,0.00535839156683435
4.0125,1.26286312378569E-09,-0.000401616353038485,-1.78481163895323E-09,-6.04008246611828E-07,-1.78481163881533E-09,-6.04008246611697E-07,9.31002270262993E-09,0.00536180282325217
4.015,1.26068394089469E-09,-0.000397912901034514,-1.78573987880751E-09,-6.07693588567358E-07,-1.78573987876782E-09,-6.07693588567205E-07,9.31587386426847E-09,0.00536521421425091
4.0175,1.25851125438699E-09,-0.00039421164403488,-1.78666020589207E-09,-6.11386274153396E-07,-1.78666020595125E-09,-6.11386274153284E-07,9.32172915621421E-09,0.00536862573991691
4.02,1.25634469964539E-09,-0.000390512577408327,-1.78757314873305E-09,-6.15086313297519E-07,-1.787573148806E-09,-6.15086313297538E-07,9.32758812952073E-09,0.00537203740033662
4.0225,1.25418393301033E-09,-0.000386815696534612,-1.78847921534656E-09,-6.18793715907465E-07,-1.78847921556128E-09,-6.18793715907456E-07,9.33345036577271E-09,0.00537544919559665
4.025,1.25202861737299E-09,-0.000383120996804469,-1.78937888624209E-09,-6.22508491874418E-07,-1.78937888592629E-09,-6.22508491874498E-07,9.3393154664001E-09,0.00537886112578366
4.0275,1.24987843761002E-09,-0.000379428473619578,-1.79027262772793E-09,-6.26230651071516E-07,-1.79027262779369E-09,-6.26230651071726E-07,9.34518307835197E-09,0.00538227319098447
4.03,1.24773308626336E-09,-0.000375738122392526,-1.79116087284336E-09,-6.2996020335595E-07,-1.79116087270845E-09,-6.29960203355861E-07,9.35105284691207E-09,0.00538568539128599
4.0325,1.24559227358432E-09,-0.000372049938546773,-1.79204404587486E-09,-6.33697158567829E-07,-1.79204404590657E-09,-6.33697158567789E-07,9.35692447218139E-09,0.00538909772677524
4.035,1.24345572022821E-09,-0.000368363917516624,-1.79292254051897E-09,-6.37441526532747E-07,-1.79292254072418E-09,-6.37441526532695E-07,9.36279765037518E-09,0.00539251019753934
