"Freq [GHz]","re(Yt(Signal9_1_T1,Signal9_1_T1)) []","im(Yt(Signal9_1_T1,Signal9_1_T1)) []"
4,8.04532076513888E-10,-0.000431586270582106
4.0025,8.05391998426328E-10,-0.000427803975158986
4.005,8.06270330241091E-10,-0.000424024162290005
4.0075,8.07166544561186E-10,-0.000420246827239131
4.01,8.08080122821551E-10,-0.000416471965282077
4.0125,8.09010542147838E-10,-0.000412699571706263
4.015,8.09957300783213E-10,-0.000408929641810785
4.0175,8.1091989479227E-10,-0.00040516217090637
4.02,8.11897829985854E-10,-0.000401397154315348
4.0225,8.12890615993728E-10,-0.000397634587371609
4.025,8.13897773588968E-10,-0.000393874465420573
4.0275,8.14918826234599E-10,-0.000390116783819151
4.03,8.15953306148835E-10,-0.000386361537935709
4.0325,8.17000752284068E-10,-0.000382608723150035
4.035,8.1806070829095E-10,-0.000378858334853302
4.0375,8.19132728141046E-10,-0.000375110368448031
4.04,8.20216374793278E-10,-0.000371364819348061
4.0425,8.21311205836314E-10,-0.000367621682978508
4.045,8.22416797382655E-10,-0.000363880954775734
4.0475,8.23532731549068E-10,-0.000360142630187311
4.05,8.24658591413071E-10,-0.000356406704671989
4.0525,8.2579396819093E-10,-0.000352673173699657
4.055,8.26938462751637E-10,-0.000348942032751309
4.0575,8.28091683489789E-10,-0.000345213277319016
4.06,8.29253238805883E-10,-0.000341486902905885
4.0625,8.3042275258023E-10,-0.000337762905026028
4.065,8.31599847521976E-10,-0.000334041279204528
4.0675,8.32784161518017E-10,-0.000330322020977405
4.07,8.33975328534428E-10,-0.000326605125891583
4.0725,8.35172999157113E-10,-0.000322890589504856
4.075,8.36376825795884E-10,-0.000319178407385855
4.0775,8.375864685429E-10,-0.000315468575114014
4.08,8.38801593425869E-10,-0.000311761088279537
4.0825,8.40021877071068E-10,-0.000308055942483366
4.085,8.41246995646391E-10,-0.00030435313333715
4.0875,8.42476638405767E-10,-0.000300652656463207
4.09,8.43710503045771E-10,-0.000296954507494495
4.0925,8.44948282267244E-10,-0.000293258682074579
4.095,8.46189686743339E-10,-0.000289565175857599
4.0975,8.47434433738226E-10,-0.000285873984508239
4.1,8.48682242113876E-10,-0.00028218510370169
4.1025,8.49932833973276E-10,-0.000278498529123622
4.105,8.51185950624708E-10,-0.000274814256470152
4.1075,8.52441330667549E-10,-0.000271132281447813
4.11,8.53698721349494E-10,-0.000267452599773519
4.1125,8.54957876407474E-10,-0.000263775207174535
4.115,8.56218557259249E-10,-0.000260100099388447
4.1175,8.57480532843521E-10,-0.000256427272163129
4.12,8.58743577159539E-10,-0.000252756721256715
4.1225,8.60007470256425E-10,-0.000249088442437561
4.125,8.61271999886531E-10,-0.000245422431484222
4.1275,8.6253696226219E-10,-0.000241758684185415
4.13,8.63802155742437E-10,-0.000238097196339994
4.1325,8.65067390331438E-10,-0.000234437963756915
4.135,8.66332482349555E-10,-0.000230780982255203
4.1375,8.67597247965085E-10,-0.000227126247663932
4.14,8.68861516751239E-10,-0.000223473755822182
4.1425,8.70125126056195E-10,-0.000219823502579019
4.145,8.71387912128911E-10,-0.000216175483793459
4.1475,8.72649726617211E-10,-0.00021252969533444
4.15,8.7391041964178E-10,-0.000208886133080792
4.1525,8.75169854941408E-10,-0.000205244792921208
4.155,8.76427899536941E-10,-0.000201605670754213
4.1575,8.77684427568836E-10,-0.000197968762488135
