Freq [GHz],Re(Y11) [S],Re(Y22) [S],Re(Y11) load-only [S]
1.0,0.009999999999999997,0.01,0.04
1.009,0.01,0.01,0.04
1.018,0.009999999999999998,0.010000000000000002,0.04000000000000001
1.027,0.009999999999999997,0.01,0.04
1.036,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.045,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.054,0.01,0.01,0.039999999999999994
1.063,0.01,0.01,0.04000000000000001
1.072,0.010000000000000005,0.01,0.04
1.081,0.010000000000000002,0.009999999999999998,0.039999999999999994
1.09,0.009999999999999998,0.01,0.04
1.099,0.01,0.01,0.04
1.108,0.009999999999999998,0.01,0.04
1.117,0.009999999999999997,0.010000000000000002,0.04
1.126,0.009999999999999998,0.01,0.04
1.135,0.009999999999999998,0.01,0.04
1.144,0.009999999999999998,0.01,0.04
1.153,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.162,0.009999999999999993,0.01,0.039999999999999994
1.171,0.009999999999999997,0.01,0.04
1.18,0.010000000000000004,0.01,0.04000000000000001
1.189,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.198,0.009999999999999998,0.009999999999999998,0.04
1.207,0.009999999999999998,0.01,0.04
1.216,0.009999999999999997,0.01,0.04
1.225,0.01,0.009999999999999998,0.039999999999999994
1.234,0.010000000000000002,0.01,0.039999999999999994
1.243,0.009999999999999998,0.009999999999999998,0.04
1.252,0.009999999999999993,0.01,0.039999999999999994
1.261,0.009999999999999997,0.01,0.04
1.27,0.009999999999999997,0.009999999999999998,0.039999999999999994
1.279,0.01,0.01,0.039999999999999994
1.288,0.010000000000000002,0.01,0.039999999999999994
1.297,0.009999999999999997,0.01,0.04
1.306,0.01,0.010000000000000004,0.04000000000000001
1.315,0.01,0.01,0.04
1.324,0.009999999999999998,0.009999999999999998,0.04
1.333,0.009999999999999997,0.010000000000000002,0.04
1.342,0.010000000000000002,0.010000000000000002,0.04
1.351,0.01,0.009999999999999997,0.03999999999999999
1.36,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.369,0.009999999999999995,0.009999999999999997,0.039999999999999994
1.378,0.009999999999999997,0.01,0.04
1.387,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.396,0.009999999999999997,0.01,0.04
1.405,0.009999999999999997,0.01,0.04
1.414,0.009999999999999998,0.01,0.04
1.423,0.01,0.01,0.04
1.432,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.441,0.010000000000000004,0.009999999999999998,0.04
1.45,0.010000000000000002,0.010000000000000004,0.04000000000000001
1.459,0.009999999999999997,0.01,0.04
1.468,0.009999999999999997,0.010000000000000002,0.04
1.477,0.01,0.01,0.04
1.486,0.009999999999999993,0.01,0.039999999999999994
1.495,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.504,0.009999999999999997,0.010000000000000004,0.04
1.513,0.010000000000000004,0.009999999999999998,0.04
1.522,0.009999999999999993,0.01,0.039999999999999994
1.531,0.010000000000000005,0.009999999999999998,0.04
1.54,0.010000000000000002,0.01,0.04000000000000001
1.549,0.009999999999999998,0.01,0.04
1.558,0.010000000000000004,0.009999999999999997,0.039999999999999994
1.567,0.010000000000000004,0.01,0.04000000000000001
1.576,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.585,0.01,0.009999999999999997,0.04
1.594,0.01,0.010000000000000002,0.039999999999999994
1.603,0.009999999999999998,0.010000000000000005,0.040000000000000015
1.612,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.621,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.63,0.009999999999999998,0.010000000000000004,0.04000000000000001
1.639,0.010000000000000004,0.009999999999999998,0.04000000000000001
1.648,0.010000000000000005,0.009999999999999998,0.04000000000000001
1.657,0.009999999999999998,0.01,0.04
1.666,0.009999999999999995,0.01,0.039999999999999994
1.675,0.010000000000000002,0.01,0.039999999999999994
1.684,0.009999999999999995,0.009999999999999997,0.039999999999999994
1.693,0.01,0.01,0.04
1.702,0.009999999999999997,0.010000000000000002,0.04
1.711,0.009999999999999997,0.010000000000000002,0.039999999999999994
1.72,0.009999999999999995,0.01,0.04
1.729,0.01,0.01,0.04
1.738,0.01,0.009999999999999997,0.04
1.747,0.01,0.009999999999999997,0.04
1.756,0.009999999999999998,0.01,0.039999999999999994
1.765,0.01,0.01,0.04
1.774,0.009999999999999995,0.01,0.03999999999999999
1.783,0.010000000000000002,0.01,0.039999999999999994
1.792,0.009999999999999997,0.009999999999999997,0.03999999999999999
1.801,0.009999999999999998,0.009999999999999997,0.03999999999999999
1.81,0.01,0.010000000000000002,0.04000000000000001
1.819,0.010000000000000002,0.01,0.04000000000000001
1.828,0.010000000000000002,0.010000000000000002,0.04000000000000001
1.837,0.01,0.010000000000000002,0.04000000000000001
1.846,0.009999999999999995,0.010000000000000002,0.04000000000000001
1.855,0.009999999999999993,0.01,0.039999999999999994
1.864,0.010000000000000002,0.009999999999999997,0.03999999999999999
1.873,0.009999999999999998,0.009999999999999997,0.03999999999999999
1.882,0.009999999999999992,0.010000000000000004,0.04
1.891,0.01,0.01,0.039999999999999994
1.9,0.01,0.01,0.04
1.909,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.918,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.927,0.009999999999999998,0.009999999999999998,0.039999999999999994
1.936,0.009999999999999998,0.01,0.04
1.945,0.009999999999999998,0.010000000000000004,0.04000000000000001
1.954,0.009999999999999995,0.009999999999999997,0.039999999999999994
1.963,0.009999999999999997,0.009999999999999997,0.04
1.972,0.01,0.009999999999999998,0.039999999999999994
1.981,0.009999999999999995,0.01,0.04
1.99,0.010000000000000004,0.009999999999999995,0.03999999999999999
1.999,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.008,0.010000000000000004,0.01,0.04000000000000001
2.017,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.026,0.010000000000000004,0.010000000000000002,0.04000000000000001
2.035,0.010000000000000005,0.010000000000000002,0.04
2.044,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.053,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.062,0.01,0.01,0.04
2.071,0.010000000000000004,0.009999999999999998,0.04
2.08,0.009999999999999995,0.01,0.04
2.089,0.01,0.01,0.04
2.098,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.107,0.010000000000000004,0.009999999999999998,0.04000000000000001
2.116,0.009999999999999997,0.01,0.04
2.125,0.009999999999999998,0.01,0.04
2.134,0.01000000000000001,0.009999999999999997,0.04
2.143,0.009999999999999993,0.01,0.039999999999999994
2.152,0.010000000000000004,0.009999999999999997,0.039999999999999994
2.161,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.17,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.179,0.009999999999999998,0.01,0.04
2.188,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.197,0.009999999999999993,0.01,0.039999999999999994
2.206,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.215,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.224,0.009999999999999997,0.010000000000000002,0.04
2.233,0.010000000000000005,0.009999999999999998,0.04000000000000001
2.242,0.010000000000000004,0.01,0.04000000000000001
2.251,0.009999999999999998,0.01,0.04
2.26,0.009999999999999998,0.009999999999999997,0.03999999999999999
2.269,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.278,0.009999999999999998,0.01,0.04
2.287,0.009999999999999993,0.01,0.039999999999999994
2.296,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.305,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.314,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.323,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.332,0.010000000000000004,0.009999999999999997,0.039999999999999994
2.341,0.01,0.01,0.04
2.35,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.359,0.009999999999999997,0.009999999999999997,0.03999999999999999
2.368,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.377,0.010000000000000004,0.009999999999999997,0.039999999999999994
2.386,0.010000000000000004,0.01,0.04000000000000001
2.395,0.009999999999999995,0.009999999999999997,0.039999999999999994
2.404,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.413,0.009999999999999995,0.009999999999999997,0.039999999999999994
2.422,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.431,0.01,0.01,0.04
2.44,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.449,0.010000000000000004,0.010000000000000004,0.040000000000000015
2.458,0.009999999999999995,0.009999999999999998,0.04
2.467,0.01,0.01,0.04
2.476,0.009999999999999998,0.010000000000000002,0.04000000000000001
2.485,0.00999999999999999,0.009999999999999997,0.03999999999999999
2.494,0.009999999999999998,0.009999999999999997,0.03999999999999999
2.503,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.512,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.521,0.01,0.01,0.039999999999999994
2.53,0.009999999999999998,0.01,0.04
2.539,0.01,0.009999999999999997,0.03999999999999999
2.548,0.009999999999999998,0.01,0.04
2.557,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.566,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.575,0.01,0.010000000000000004,0.04000000000000001
2.584,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.593,0.009999999999999995,0.009999999999999997,0.039999999999999994
2.602,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.611,0.009999999999999998,0.01,0.04
2.62,0.010000000000000007,0.010000000000000002,0.04000000000000001
2.629,0.010000000000000005,0.010000000000000004,0.040000000000000015
2.638,0.010000000000000004,0.010000000000000002,0.04000000000000001
2.647,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.656,0.010000000000000004,0.01,0.04000000000000001
2.665,0.01,0.01,0.04
2.674,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.683,0.01,0.009999999999999998,0.039999999999999994
2.692,0.01,0.009999999999999997,0.04
2.701,0.010000000000000007,0.009999999999999997,0.03999999999999999
2.71,0.010000000000000005,0.009999999999999998,0.039999999999999994
2.719,0.010000000000000002,0.009999999999999997,0.039999999999999994
2.728,0.010000000000000004,0.009999999999999998,0.04
2.737,0.009999999999999992,0.01,0.04
2.746,0.009999999999999998,0.01,0.04
2.755,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.764,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.773,0.01,0.01,0.039999999999999994
2.782,0.01,0.010000000000000002,0.039999999999999994
2.791,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.8,0.009999999999999998,0.01,0.04
2.809,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.818,0.010000000000000005,0.01,0.04
2.827,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.836,0.009999999999999993,0.010000000000000002,0.04
2.845,0.010000000000000004,0.009999999999999997,0.039999999999999994
2.854,0.010000000000000002,0.01,0.039999999999999994
2.863,0.01,0.009999999999999998,0.039999999999999994
2.872,0.010000000000000002,0.010000000000000002,0.04
2.881,0.01,0.010000000000000004,0.04000000000000001
2.89,0.009999999999999997,0.009999999999999998,0.04
2.899,0.010000000000000002,0.010000000000000002,0.04000000000000001
2.908,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.917,0.010000000000000004,0.010000000000000002,0.04000000000000001
2.926,0.009999999999999998,0.01,0.04
2.935,0.009999999999999998,0.009999999999999998,0.04
2.944,0.009999999999999998,0.009999999999999998,0.039999999999999994
2.953,0.010000000000000004,0.009999999999999998,0.04
2.962,0.010000000000000002,0.009999999999999993,0.03999999999999999
2.971,0.01,0.009999999999999998,0.04
2.98,0.009999999999999997,0.009999999999999998,0.039999999999999994
2.989,0.009999999999999998,0.009999999999999998,0.04
2.998,0.01,0.009999999999999997,0.03999999999999999
3.007,0.010000000000000002,0.01,0.039999999999999994
3.016,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.025,0.009999999999999998,0.01,0.04
3.034,0.009999999999999993,0.01,0.039999999999999994
3.043,0.009999999999999998,0.01,0.04
3.052,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.061,0.009999999999999998,0.01,0.04
3.07,0.01,0.009999999999999998,0.039999999999999994
3.079,0.009999999999999998,0.009999999999999998,0.04
3.088,0.010000000000000004,0.009999999999999997,0.039999999999999994
3.097,0.010000000000000004,0.010000000000000002,0.04000000000000001
3.106,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.115,0.010000000000000004,0.009999999999999998,0.04
3.124,0.01,0.009999999999999998,0.04
3.133,0.01,0.01,0.04
3.142,0.01,0.009999999999999998,0.039999999999999994
3.151,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.16,0.009999999999999998,0.01,0.04
3.169,0.01,0.009999999999999997,0.03999999999999999
3.178,0.009999999999999998,0.01,0.04
3.187,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.196,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.205,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.214,0.009999999999999998,0.01,0.04
